,SOURCE,SYMBOL,SERIES,ISIN_NUMBER
179,NSE,RTNINDIA,EQ,INE834M01019
180,NSE,RSYSTEMS,EQ,INE411H01032
181,NSE,RSWM,EQ,INE611A01016
182,NSE,RSSOFTWARE,EQ,INE165B01029
183,NSE,RRKABEL,EQ,INE777K01022
184,NSE,RPTECH,EQ,INE0J1F01024
185,NSE,RPSGVENT,EQ,INE425Y01011
186,NSE,RKSWAMY,EQ,INE0NQ801033
187,NSE,RPPL,EQ,INE760W01023
188,NSE,RPOWER,EQ,INE614G01033
189,NSE,RPGLIFE,EQ,INE105J01010
190,NSE,RPEL,EQ,INE912T01018
191,NSE,ROUTE,EQ,INE450U01017
192,NSE,ROTO,EQ,INE535D01037
193,NSE,ROSSTECH,EQ,INE0OJW01016
194,NSE,ROSSELLIND,EQ,INE847C01020
195,NSE,ROSSARI,EQ,INE02A801020
196,NSE,ROML,EQ,INE294G01026
197,NSE,ROLLT,BE,INE927A01040
198,NSE,ROLEXRINGS,EQ,INE645S01024
199,NSE,ROHLTD,EQ,INE283H01019
200,NSE,RNBDENIMS,EQ,INE012Q01021
201,NSE,RML,EQ,INE050H01012
202,NSE,RPPINFRA,EQ,INE324L01013
203,NSE,RBZJEWEL,EQ,INE0PEQ01016
204,NSE,RBLBANK,EQ,INE976G01028
205,NSE,RBA,EQ,INE07T201019
206,NSE,QUADFUTURE,EQ,INE0LRY01011
207,NSE,QPOWER,EQ,INE0SII01026
208,NSE,PYRAMID,EQ,INE0MIS01010
209,NSE,PWL,EQ,INE0LP301011
210,NSE,PVSL,EQ,INE772T01024
211,NSE,PVRINOX,EQ,INE191H01014
212,NSE,PVP,BE,INE362A01016
213,NSE,PURVA,EQ,INE323I01011
214,NSE,PUNJABCHEM,EQ,INE277B01014
215,NSE,PTL,EQ,INE034D01049
216,NSE,PTCIL,EQ,INE596F01018
217,NSE,PTC,EQ,INE877F01012
218,NSE,PSPPROJECT,EQ,INE488V01015
219,NSE,PSB,EQ,INE608A01012
220,NSE,QUESS,EQ,INE615P01015
221,NSE,PRUDMOULI,EQ,INE024D01016
222,NSE,PRSMJOHNSN,EQ,INE010A01011
223,NSE,PROZONER,BE,INE195N01013
224,NSE,PROTEAN,EQ,INE004A01022
225,NSE,PROSTARM,EQ,INE0BX301013
226,NSE,PRIVISCL,EQ,INE959A01019
227,NSE,PRITIKAUTO,EQ,INE583R01029
228,NSE,PRITI,EQ,INE974Z01015
229,NSE,PRINCEPIPE,EQ,INE689W01016
230,NSE,PRIMO,EQ,INE607A01022
231,NSE,PRIMESECU,EQ,INE032B01021
232,NSE,PRICOLLTD,EQ,INE726V01018
233,NSE,PRESTIGE,EQ,INE811K01011
234,NSE,PREMIERPOL,EQ,INE309M01020
235,NSE,PREMIERENE,EQ,INE0BS701011
236,NSE,PRUDENT,EQ,INE00F201020
237,NSE,QUICKHEAL,EQ,INE306L01010
238,NSE,RACE,EQ,INE084Q01012
239,NSE,RACLGEAR,EQ,INE704B01017
240,NSE,RAYMONDREL,EQ,INE1SY401010
241,NSE,RAYMONDLSL,EQ,INE02ID01020
242,NSE,RAYMOND,EQ,INE301A01014
243,NSE,RATNAVEER,EQ,INE05CZ01011
244,NSE,RATNAMANI,EQ,INE703B01027
245,NSE,RATEGAIN,EQ,INE0CLI01024
246,NSE,RANEHOLDIN,EQ,INE384A01010
247,NSE,RANASUG,EQ,INE625B01014
