,SOURCE,SYMBOL,SERIES,ISIN_NUMBER
387,NSE,MADHUCON,EQ,INE378D01032
388,NSE,MADHAV,EQ,INE925C01016
389,NSE,MACPOWER,EQ,INE155Z01011
390,NSE,MAANALU,BE,INE215I01027
391,NSE,M&MFIN,EQ,INE774D01024
392,NSE,M&M,EQ,INE101A01026
393,NSE,LYPSAGEMS,EQ,INE142K01011
394,NSE,LOVABLE,EQ,INE597L01014
395,NSE,LOYALTEX,EQ,INE970D01010
396,NSE,LPDC,EQ,INE197J01017
397,NSE,LT,EQ,INE018A01030
398,NSE,LTF,EQ,INE498L01015
399,NSE,LTFOODS,EQ,INE818H01020
400,NSE,MHRIL,EQ,INE998I01010
401,NSE,LTIM,EQ,INE214T01019
402,NSE,LUMAXIND,EQ,INE162B01018
403,NSE,LUMAXTECH,EQ,INE872H01027
404,NSE,LUPIN,EQ,INE326A01037
405,NSE,LUXIND,EQ,INE150G01020
406,NSE,LXCHEM,EQ,INE576O01020
407,NSE,LYKALABS,EQ,INE933A01014
408,NSE,LTTS,EQ,INE010V01017
409,NSE,NUCLEUS,EQ,INE096B01018
410,NSE,MICEL,EQ,INE287C01037
411,NSE,MIDWESTLTD,EQ,INE0XAD01024
412,NSE,NGIL,EQ,INE236Y01012
413,NSE,NFL,EQ,INE870D01012
414,NSE,NEXTMEDIA,EQ,INE747B01016
415,NSE,NEWGEN,EQ,INE619B01017
416,NSE,NEULANDLAB,EQ,INE794A01010
417,NSE,NETWORK18,EQ,INE870H01013
418,NSE,NETWEB,EQ,INE0NT901020
419,NSE,NESTLEIND,EQ,INE239A01024
420,NSE,NESCO,EQ,INE317F01035
421,NSE,NEPHROPLUS,EQ,INE428V01029
422,NSE,NEOGEN,EQ,INE136S01016
423,NSE,NELCO,EQ,INE045B01015
424,NSE,NELCAST,EQ,INE189I01024
425,NSE,NECLIFE,BE,INE023H01027
426,NSE,NGLFINE,EQ,INE887E01022
427,NSE,NECCLTD,EQ,INE553C01016
428,NSE,NDRAUTO,EQ,INE07OG01012
429,NSE,NDLVENTURE,EQ,INE353A01023
430,NSE,NDL,EQ,INE875G01048
431,NSE,NDGL,EQ,INE756C01015
432,NSE,NCLIND,EQ,INE732C01016
433,NSE,NCC,EQ,INE868B01028
434,NSE,NBIFIN,EQ,INE365I01020
435,NSE,NBCC,EQ,INE095N01031
436,NSE,NAZARA,EQ,INE418L01047
437,NSE,NAVNETEDUL,EQ,INE060A01024
438,NSE,NAVKARURB,BE,INE268H01044
439,NSE,NAVKARCORP,EQ,INE278M01019
440,NSE,NAVINFLUOR,EQ,INE048G01026
441,NSE,NAVA,EQ,INE725A01030
442,NSE,NDTV,EQ,INE155G01029
443,NSE,NAUKRI,EQ,INE663F01032
444,NSE,NH,EQ,INE410P01011
445,NSE,NIACL,EQ,INE470Y01017
446,NSE,NTPC,EQ,INE733E01010
447,NSE,NSLNISP,EQ,INE0NNS01018
448,NSE,NSIL,EQ,INE023A01030
449,NSE,NRL,EQ,INE0JM501013
450,NSE,NRBBEARING,EQ,INE349A01021
451,NSE,NRAIL,EQ,INE740D01017
452,NSE,NPST,EQ,INE0FFK01017
453,NSE,NOVAAGRI,EQ,INE02H701025
454,NSE,NORTHARC,EQ,INE850M01015
455,NSE,NORBTEAEXP,BE,INE369C01017
456,NSE,NOIDATOLL,EQ,INE781B01015
457,NSE,NOCIL,EQ,INE163A01018
458,NSE,NMDC,EQ,INE584A01023
459,NSE,NLCINDIA,EQ,INE589A01014
460,NSE,NHPC,EQ,INE848E01016
461,NSE,NKIND,EQ,INE542C01019
462,NSE,NITIRAJ,EQ,INE439T01012
463,NSE,NITINSPIN,EQ,INE229H01012
464,NSE,NITCO,EQ,INE858F01012
465,NSE,NIRAJISPAT,EQ,INE326T01011
466,NSE,NIRAJ,EQ,INE368I01016
467,NSE,NIPPOBATRY,EQ,INE567A01028
468,NSE,NINSYS,EQ,INE395U01014
469,NSE,NILKAMAL,EQ,INE310A01015
470,NSE,NILASPACES,EQ,INE00S901012
471,NSE,NILAINFRA,EQ,INE937C01029
472,NSE,NIITMTS,EQ,INE342G01023
473,NSE,NIITLTD,EQ,INE161A01038
474,NSE,NIBL,EQ,INE047O01014
475,NSE,NIBE,EQ,INE149O01018
476,NSE,NIVABUPA,EQ,INE995S01015
477,NSE,NATIONALUM,EQ,INE139A01034
478,NSE,NATHBIOGEN,EQ,INE448G01010
479,NSE,NATCOPHARM,EQ,INE987B01026
480,NSE,MOTISONS,EQ,INE0FRK01020
481,NSE,MOTILALOFS,EQ,INE338I01027
482,NSE,MOTHERSON,EQ,INE775A01035
483,NSE,MOSCHIP,EQ,INE935B01025
484,NSE,MOREPENLAB,EQ,INE083A01026
485,NSE,MONTECARLO,EQ,INE950M01013
486,NSE,MONEYBOXX,EQ,INE296Q01012
487,NSE,MONARCH,EQ,INE903D01011
488,NSE,MOLDTKPAC,EQ,INE893J01029
489,NSE,MOLDTECH,EQ,INE835B01035
490,NSE,MOL,EQ,INE0CT101020
491,NSE,MOKSH,EQ,INE514Y01020
492,NSE,MOIL,EQ,INE490G01020
493,NSE,MOHITIND,EQ,INE954E01012
494,NSE,MOTOGENFIN,EQ,INE861B01023
495,NSE,MODTHREAD,EQ,INE794W01014
496,NSE,MODIS,EQ,INE0L0L01012
497,NSE,MODIRUBBER,EQ,INE832A01018
498,NSE,MODINATUR,EQ,INE537F01012
499,NSE,MOBIKWIK,EQ,INE0HLU01028
500,NSE,MMTC,EQ,INE123F01029
501,NSE,MMP,EQ,INE511Y01018
502,NSE,MMFL,EQ,INE227C01017
503,NSE,MKPL,EQ,INE964W01021
504,NSE,MITTAL,EQ,INE997Y01027
505,NSE,MITCON,EQ,INE828O01033
506,NSE,MIRZAINT,EQ,INE771A01026
507,NSE,MIRCELECTR,EQ,INE831A01028
508,NSE,MINDTECK,EQ,INE110B01017
509,NSE,MINDACORP,EQ,INE842C01021
510,NSE,MODISONLTD,EQ,INE737D01021
511,NSE,MPHASIS,EQ,INE356A01018
512,NSE,MPSLTD,EQ,INE943D01017
513,NSE,MRF,EQ,INE883A01011
514,NSE,NATCAPSUQ,EQ,INE936B01015
515,NSE,NARMADA,EQ,INE117Z01011
516,NSE,NAM-INDIA,EQ,INE298J01013
517,NSE,NAHARSPING,EQ,INE290A01027
518,NSE,NAHARPOLY,EQ,INE308A01027
519,NSE,NAHARINDUS,EQ,INE289A01011
520,NSE,NAHARCAP,EQ,INE049I01012
521,NSE,NAGREEKEXP,EQ,INE123B01028
522,NSE,NAGREEKCAP,BE,INE245I01016
523,NSE,NAGAFERT,EQ,INE454M01024
524,NSE,NACLIND,EQ,INE295D01020
525,NSE,MWL,EQ,INE0JYY01011
526,NSE,MVGJL,EQ,INE0KNT01012
527,NSE,MUTHOOTMF,EQ,INE046W01019
528,NSE,MUTHOOTFIN,EQ,INE414G01012
529,NSE,MUTHOOTCAP,EQ,INE296G01013
530,NSE,MURUDCERA,EQ,INE692B01014
531,NSE,MRPL,EQ,INE103A01014
532,NSE,MSPL,EQ,INE752G01015
533,NSE,MSTCLTD,EQ,INE255X01014
534,NSE,MSUMI,EQ,INE0FS801015
535,NSE,MTARTECH,EQ,INE864I01014
536,NSE,MTEDUCARE,BE,INE472M01018
537,NSE,MIDHANI,EQ,INE099Z01011
538,NSE,MTNL,EQ,INE153A01019
539,NSE,MUFTI,EQ,INE220Q01020
540,NSE,MUKANDLTD,EQ,INE304A01026
541,NSE,MUKKA,EQ,INE0CG401037
542,NSE,MUKTAARTS,EQ,INE374B01019
543,NSE,MUNJALAU,EQ,INE672B01032
544,NSE,MUNJALSHOW,EQ,INE577A01027
545,NSE,MUFIN,EQ,INE08KJ01020
546,NSE,RUSHIL,EQ,INE573K01025
547,NSE,RUSTOMJEE,EQ,INE263M01029
548,NSE,RVHL,EQ,INE09E501017
549,NSE,TVSSCS,EQ,INE395N01027
550,NSE,TVSMOTOR,EQ,INE494B01023
551,NSE,TVSHLTD,EQ,INE105A01035
552,NSE,TVSELECT,BE,INE236G01019
553,NSE,TTML,EQ,INE517B01013
554,NSE,TTL,EQ,INE592B01024
555,NSE,TTKPRESTIG,EQ,INE690A01028
556,NSE,TTKHLTCARE,EQ,INE910C01018
557,NSE,TSFINV,EQ,INE202Z01029
558,NSE,TRUALT,EQ,INE0MWH01014
559,NSE,TRU,EQ,INE615R01029
560,NSE,TRIVENI,EQ,INE256C01024
561,NSE,TRITURBINE,EQ,INE152M01016
562,NSE,TRIGYN,EQ,INE948A01012
563,NSE,TVSSRICHAK,EQ,INE421C01016
564,NSE,TRIDENT,EQ,INE064C01022
565,NSE,TRENT,EQ,INE849A01020
566,NSE,TREL,EQ,INE0O3901029
