SOURCE,ISIN_NUMBER,SYMBOL,SERIES
BSE,INE101A01026,M&M,A
BSE,INE323A01026,BOSCHLTD,A
BSE,INE342A01018,PREMIER,T
BSE,INE029A01011,BPCL,A
BSE,INE003A01024,SIEMENS,A
BSE,INE155A01022,TMPV,A
BSE,INE226A01021,VOLTAS,A
BSE,INE017A01032,GESHIP,A
BSE,INE501A01019,DEEPAKFERT,A
BSE,INE369A01029,EXCELINDUS,B
BSE,INE291A01017,GRWRHITECH,A
BSE,INE159A01016,GLAXO,A
BSE,INE113A01013,GNFC,A
BSE,INE234A01025,NOVARTIND,B
BSE,INE058A01010,SANOFI,A
BSE,INE182A01018,PFIZER,A
BSE,INE026A01025,GSFC,A
BSE,INE030A01027,HINDUNILVR,A
BSE,INE133A01011,AKZOINDIA,A
BSE,INE163A01018,NOCIL,A
BSE,INE092A01019,TATACHEM,A
BSE,INE148A01019,TNPETRO,B
BSE,INE217A01012,ZUARIIND,B
BSE,INE239A01024,NESTLEIND,A
BSE,INE192A01025,TATACONSUM,A
BSE,INE021A01026,ASIANPAINT,A
BSE,INE216A01030,BRITANNIA,A
BSE,INE259A01022,COLPAL,A
BSE,INE230A01023,EIHOTEL,A
BSE,INE053A01029,INDHOTEL,A
BSE,INE172A01027,CASTROLIND,A
BSE,INE154A01025,ITC,A
BSE,INE438A01022,APOLLOTYRE,A
BSE,INE482A01020,CEATLTD,A
BSE,INE832A01018,MODIRUBBER,B
BSE,INE183A01024,FINPIPE,A
BSE,INE422D01012,DSINVEST,XT
BSE,INE660C01027,CENTRUM,B
BSE,INE911B01018,TCIFINANCE,T
BSE,INE886A01014,IITL,B
BSE,INE620D01011,INDPRUD,B
BSE,INE672A01026,TATAINVEST,A
BSE,INE998D01011,JAYBHCR,X
BSE,INE286N01028,PRISMX,X
BSE,INE861B01023,MOTOGENFIN,B
BSE,INE154M01012,RAPIDIN,X
BSE,INE695D01021,WALCHPF,X
BSE,INE855A01019,WHBRADY,X
BSE,INE314H01012,TECHNVISN,XT
BSE,INE151G01028,SHAILY,A
BSE,INE050A01025,BBTC,A
BSE,INE691K01017,BOMBCYC,X
BSE,INE224A01026,GREAVESCOT,A
BSE,INE003F01015,MULLER,X
BSE,INE492N01022,AMALGAM,X
BSE,INE131H01028,INDIANVSH,XT
BSE,INE377E01024,COASTCORP,T
BSE,INE490A01015,CHOWGULSTM,X
BSE,INE446C01013,GLOBOFFS,X
BSE,INE758D01027,DHENUBUILD,Z
BSE,INE443A01030,ASIIL,X
BSE,INE229C01021,SAGCEM,B
BSE,INE583C01021,DECCANCE,B
BSE,INE347A01017,MANGLMCEM,B
BSE,INE732C01016,NCLIND,B
BSE,INE626A01014,SAURASHCEM,B
BSE,INE232A01011,SHREDIGCEM,B
BSE,INE666D01022,BORORENEW,A
BSE,INE094C01011,TRIVENIGQ,X
BSE,INE416N01013,NILACHAL,X
BSE,INE435A01051,ANDHRAPAP,B
BSE,INE787D01026,BALKRISIND,A
BSE,INE592A01026,ORIENTPPR,B
BSE,INE906D01014,CITADEL,X
BSE,INE927A01040,ROLLT,T
BSE,INE630A01024,SESHAPAPER,B
BSE,INE777A01023,NATHIND,X
BSE,INE498A01018,DCM,B
BSE,INE518A01013,FORBESCO,X
BSE,INE950C01014,HPCOTTON,X
BSE,INE706D01018,UNITEDINT,X
BSE,INE462D01034,JAMSHRI,X
BSE,INE498G01015,KATRSPG,X
BSE,INE087A01019,KESORAMIND,T
BSE,INE938C01019,LAKSHMIMIL,X
BSE,INE825A01020,VTL,A
BSE,INE138A01028,PENINLAND,B
BSE,INE909B01020,PASUSPG,X
BSE,INE211B01039,PHOENIXLTD,A
BSE,INE182D01020,MARATHON,B
BSE,INE750D01016,RELCHEMQ,B
BSE,INE301D01026,RUBYMILLS,B
BSE,INE167H01014,SIMPLXREA,X
BSE,INE665A01038,SWANCORP,A
BSE,INE203D01016,VICTMILL,X
BSE,INE406N01014,ZSVARAJT,X
BSE,INE315N01017,SALSAIN,XT
BSE,INE945J01027,ZODIACVEN,X
BSE,INE255E01030,VEERENRGY,X
BSE,INE026L01022,TILAK,X
BSE,INE786K01023,WAGEND,X
BSE,INE927X01018,ELCIDIN,B
BSE,INE828I01019,MEDIAONE,Z
BSE,INE629D01020,BANSWRAS,B
BSE,INE170C01019,MODIPON,X
BSE,INE204C01024,SHRIDINE,X
BSE,INE647A01010,SRF,A
BSE,INE076B01028,SIYSIL,B
BSE,INE243N01029,SWADPOL,X
BSE,INE796C01011,SHRAJSYNQ,XT
BSE,INE464A01036,BBL,A
BSE,INE579B01039,ELPROINTL,B
BSE,INE064H01021,GEE,X
BSE,INE835D01023,HIRECT,B
BSE,INE567A01028,NIPPOBATRY,B
